"Year","Pts","Attendance","Players.Used","Age","Poss","PK","PKatt","CrdY","CrdR","SoTA","Saves","Save_Pct","CS","CS_Pct","PKatt_A","Sh","SoT","SoT_Pct","Sh_Per_90","SoT_Per_90","G_Per_Sht","G_Per_SoT","Dist","PK_A","Squad.Year","PKsv","PKm","Squad"
2013,56,30212,24,25.1,NA,3,3,0,0,132,86,65.2,15,39.5,3,NA,181,NA,NA,4.76,NA,0.27,NA,3,"Southampton 2013",NA,NA,"Southampton"
2017,36,30794,26,26.2,51.5,3,3,NA,NA,165,108,66.7,8,21.1,2,448,138,30.8,11.79,3.63,0.07,0.24,17.7,3,"Southampton 2017",1,0,"Southampton"
2018,39,30139,30,25.4,43.9,4,5,73,3,172,112,63.4,7,18.4,3,486,156,32.1,12.79,4.11,0.08,0.26,18.1,4,"Southampton 2018",1,0,"Southampton"
2019,52,23428,25,25.9,49.3,2,5,55,4,163,107,65,9,23.7,4,497,169,34,13.08,4.45,0.1,0.29,17.4,2,"Southampton 2019",1,0,"Southampton"
2020,43,526,29,26.6,52.2,5,6,52,3,169,109,64.5,9,23.7,9,417,157,37.6,10.97,4.13,0.1,0.27,17.6,5,"Southampton 2020",1,0,"Southampton"
2021,40,30134,25,25.7,47.9,4,4,65,2,180,116,63.9,8,21.1,2,483,159,32.9,12.71,4.18,0.08,0.23,17,4,"Southampton 2021",0,0,"Southampton"
2013,50,26137,26,27.3,NA,4,5,0,0,173,121,69.9,9,23.7,5,NA,142,NA,NA,3.74,NA,0.28,NA,4,"Stoke City 2013",NA,NA,"Stoke City"
2017,33,29280,30,27.5,41.3,0,3,NA,NA,212,151,70.3,6,15.8,5,390,122,31.3,10.26,3.21,0.09,0.28,17.5,0,"Stoke City 2017",0,0,"Stoke City"
2013,38,41090,31,26.5,NA,6,6,0,0,217,157,72.4,11,28.9,6,NA,135,NA,NA,3.55,NA,0.26,NA,6,"Sunderland 2013",NA,NA,"Sunderland"
2013,42,20407,27,26.5,NA,4,4,0,0,155,101,65.2,8,21.1,4,NA,163,NA,NA,4.29,NA,0.26,NA,4,"Swansea City 2013",NA,NA,"Swansea City"
2017,33,20623,26,27.2,45.2,1,1,NA,NA,182,129,70.9,9,23.7,7,337,94,27.9,8.87,2.47,0.08,0.28,17.5,1,"Swansea City 2017",3,1,"Swansea City"
2013,69,35808,28,25.2,NA,5,6,0,0,152,101,66.4,14,36.8,6,NA,228,NA,NA,6,NA,0.2,NA,5,"Tottenham 2013",NA,NA,"Tottenham"
2017,77,67953,25,25.8,61.9,2,3,NA,NA,123,89,72.4,16,42.1,3,625,212,33.9,16.45,5.58,0.11,0.32,17.4,2,"Tottenham 2017",1,0,"Tottenham"
2018,71,54216,28,26.8,58.9,4,4,57,3,148,112,75.7,13,34.2,5,537,187,34.8,14.13,4.92,0.12,0.33,17.2,4,"Tottenham 2018",2,0,"Tottenham"
2019,59,43757,29,26.7,52.2,3,4,84,3,172,130,75.6,8,21.1,7,439,155,35.3,11.55,4.08,0.12,0.34,17.8,3,"Tottenham 2019",2,0,"Tottenham"
2020,62,632,24,27.2,51.7,5,5,57,2,144,111,75.7,12,31.6,10,442,166,37.6,11.63,4.37,0.14,0.37,17.2,5,"Tottenham 2020",0,0,"Tottenham"
2021,71,56523,25,26.5,52,5,5,69,1,133,95,71.4,16,42.1,2,491,186,37.9,12.92,4.89,0.12,0.31,16.3,5,"Tottenham 2021",0,0,"Tottenham"
2017,41,20231,29,27.9,49.6,3,6,NA,NA,151,93,61.6,9,23.7,6,437,128,29.3,11.5,3.37,0.09,0.3,17.1,3,"Watford 2017",0,0,"Watford"
2018,50,20016,25,28.5,47.1,1,1,79,4,173,117,68.2,7,18.4,5,434,147,33.9,11.42,3.87,0.12,0.34,16.6,1,"Watford 2018",1,0,"Watford"
2019,34,15353,26,28.9,42.5,7,8,80,3,166,109,66.3,9,23.7,9,410,114,27.8,10.79,3,0.07,0.25,16.5,7,"Watford 2019",1,0,"Watford"
2021,23,20614,30,28.4,40.3,1,2,63,3,180,108,60.6,4,10.5,7,398,126,31.7,10.47,3.32,0.08,0.25,17.6,1,"Watford 2021",1,0,"Watford"
2013,36,25194,28,28.4,NA,2,2,0,0,174,115,66.1,7,18.4,2,NA,145,NA,NA,3.82,NA,0.27,NA,2,"West Brom 2013",NA,NA,"West Brom"
2017,31,24520,24,29.1,40.6,1,1,NA,NA,155,100,64.5,10,26.3,1,384,106,27.6,10.11,2.79,0.08,0.28,17,1,"West Brom 2017",0,0,"West Brom"
2020,26,283,30,26.4,37.6,4,4,51,4,235,166,70.6,6,15.8,12,336,107,31.8,8.84,2.82,0.09,0.27,17.6,4,"West Brom 2020",2,3,"West Brom"
